index,player,pos,tm,mp_per_game,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,drb,ast,stl,blk,tov,pf,tspercent,x3par,ftr,orbpercent,drbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ows,dws,obpm,dbpm,i
0,Kareem Abdul-Jabbar*,C,LAL,38.3,0.604,0.0,0.0,0.0,10.2,16.9,0.604,4.4,5.8,0.765,2.3,8.5,4.5,1.0,3.4,3.6,2.6,0.639,0.001,0.344,7.2,22.2,16.5,1.2,4.6,15.7,24.1,9.5,5.3,4.0,2.7,1980
1,Tom Abernethy,PF,GSW,18.2,0.48100000000000004,0.0,0.0,0.0,2.3,4.7,0.483,0.8,1.2,0.6829999999999999,0.9,1.9,1.3,0.5,0.2,0.6,1.8,0.511,0.003,0.258,5.4,12.0,9.3,1.4,0.6,9.9,13.3,1.2,0.8,-1.5,-0.1,1980
2,Alvan Adams,C,PHO,28.9,0.531,0.0,0.0,0.0,6.2,11.6,0.5329999999999999,2.5,3.1,0.797,2.1,6.0,4.3,1.4,0.7,2.9,3.2,0.5710000000000001,0.002,0.27,8.2,22.4,21.6,2.3,1.4,18.2,21.9,3.1,3.9,1.6,2.8,1980
3,Tiny Archibald*,PG,BOS,35.8,0.48200000000000004,0.1,0.2,0.222,4.7,9.7,0.488,4.5,5.4,0.83,0.7,1.7,8.4,1.3,0.1,3.0,2.7,0.574,0.023,0.5479999999999999,2.3,5.3,30.2,1.7,0.2,19.7,17.0,5.9,2.9,1.1,-1.1,1980
4,Dennis Awtrey,C,CHI,21.5,0.45,0.0,0.0,0.0,1.0,2.3,0.45,1.2,1.9,0.64,1.1,3.3,1.5,0.5,0.6,1.0,2.5,0.524,0.0,0.833,6.0,16.9,9.0,1.0,1.5,24.8,7.9,0.1,0.5,-2.9,1.5,1980
7,Greg Ballard,SF,WSB,29.7,0.495,0.2,0.6,0.34,6.5,12.9,0.502,2.1,2.8,0.753,2.9,4.9,1.9,1.1,0.4,1.6,2.4,0.532,0.043,0.20600000000000002,9.8,16.6,9.7,1.7,0.8,10.0,21.6,4.1,2.8,2.0,0.5,1980
8,Mike Bantom,SF,IND,30.3,0.505,0.0,0.0,0.33299999999999996,5.0,9.8,0.506,1.8,2.7,0.665,2.5,3.4,3.6,1.1,0.6,2.5,3.5,0.5329999999999999,0.004,0.275,8.3,12.1,15.9,1.7,1.1,18.2,17.3,2.1,1.9,0.1,0.2,1980
10,Rick Barry*,SF,HOU,25.2,0.42200000000000004,1.0,3.1,0.33,3.5,7.6,0.45799999999999996,2.0,2.1,0.935,0.7,2.5,3.7,1.1,0.4,2.1,2.5,0.517,0.287,0.198,3.1,11.5,20.4,2.1,0.9,15.3,21.6,2.2,1.2,1.4,-0.7,1980
16,Kent Benson,C,TOT,25.9,0.484,0.0,0.1,0.2,4.1,8.4,0.486,1.4,1.9,0.7020000000000001,1.7,4.5,2.4,1.0,1.3,2.2,3.4,0.513,0.008,0.228,7.3,18.3,12.2,1.8,2.7,18.8,17.4,0.4,2.7,-1.6,2.1,1980
17,Kent Benson,C,MIL,24.8,0.494,0.0,0.0,0.0,3.8,7.7,0.495,1.2,1.7,0.68,1.7,4.2,2.3,1.0,1.3,1.9,3.2,0.519,0.002,0.225,7.7,18.0,11.8,1.8,2.9,18.3,16.6,0.6,2.3,-1.4,2.7,1980
